# Starting up: N=100 dt=1.000000e-05 pad=2.000000e+00 L=1.000000e+00
time	PV	NkT	PV/NkT	Energy
6.900029e+01 1.736984e+01 1.715399e+01 1.012583e+00 0.000000e+00
7.000029e+01 1.787987e+01 1.715339e+01 1.042352e+00 0.000000e+00
7.100029e+01 1.656413e+01 1.715275e+01 9.656836e-01 0.000000e+00
7.200029e+01 1.775474e+01 1.715313e+01 1.035073e+00 0.000000e+00
7.300029e+01 1.638587e+01 1.715429e+01 9.552053e-01 0.000000e+00
7.400029e+01 1.754427e+01 1.715351e+01 1.022781e+00 0.000000e+00
7.500029e+01 1.520194e+01 1.715390e+01 8.862089e-01 0.000000e+00
7.600029e+01 1.974720e+01 1.715326e+01 1.151221e+00 0.000000e+00
7.700029e+01 1.534264e+01 1.715342e+01 8.944360e-01 0.000000e+00
7.800029e+01 1.891024e+01 1.715368e+01 1.102402e+00 0.000000e+00
7.900029e+01 1.739089e+01 1.715430e+01 1.013792e+00 0.000000e+00
8.000029e+01 1.482890e+01 1.715526e+01 8.643941e-01 0.000000e+00
8.100029e+01 1.918156e+01 1.715296e+01 1.118265e+00 0.000000e+00
8.200029e+01 1.715334e+01 1.715413e+01 9.999544e-01 0.000000e+00
8.300029e+01 1.588548e+01 1.715373e+01 9.260658e-01 0.000000e+00
8.400029e+01 1.752836e+01 1.715143e+01 1.021977e+00 0.000000e+00
8.500029e+01 1.801768e+01 1.715374e+01 1.050365e+00 0.000000e+00
8.600029e+01 1.699037e+01 1.715380e+01 9.904727e-01 0.000000e+00
8.700029e+01 1.598168e+01 1.715518e+01 9.315950e-01 0.000000e+00
8.800029e+01 1.903310e+01 1.715436e+01 1.109520e+00 0.000000e+00
8.900029e+01 1.540649e+01 1.715409e+01 8.981237e-01 0.000000e+00
9.000029e+01 1.653850e+01 1.715494e+01 9.640666e-01 0.000000e+00
9.100029e+01 1.853937e+01 1.715220e+01 1.080874e+00 0.000000e+00
9.200029e+01 1.676076e+01 1.715393e+01 9.770797e-01 0.000000e+00
9.300029e+01 1.664753e+01 1.715356e+01 9.704998e-01 0.000000e+00
9.400029e+01 1.820741e+01 1.715370e+01 1.061427e+00 0.000000e+00
