# Starting up: N=10000 dt=2.000000e-03 pad=2.000000e+00 L=1.000000e+00
time	PV	NkT	PV/NkT	Energy
1.000000e+00 0.000000e+00 6.060570e+01 0.000000e+00 0.000000e+00
2.000000e+00 0.000000e+00 6.445407e+01 0.000000e+00 0.000000e+00
3.002000e+00 0.000000e+00 6.293223e+01 0.000000e+00 0.000000e+00
4.004000e+00 9.388278e-02 6.095933e+01 1.540089e-03 0.000000e+00
5.006000e+00 2.479929e-02 5.930166e+01 4.181887e-04 0.000000e+00
6.008000e+00 4.732615e-02 5.764156e+01 8.210422e-04 0.000000e+00
7.010000e+00 8.043911e-02 5.593803e+01 1.438004e-03 0.000000e+00
8.012000e+00 8.091400e-02 5.427146e+01 1.490913e-03 0.000000e+00
9.012000e+00 8.295662e-02 5.296891e+01 1.566138e-03 0.000000e+00
1.001200e+01 9.175950e-02 5.142268e+01 1.784417e-03 0.000000e+00
1.101200e+01 9.920821e-03 5.010912e+01 1.979843e-04 0.000000e+00
1.201200e+01 1.547590e-02 4.871731e+01 3.176674e-04 0.000000e+00
1.301200e+01 3.207870e-02 4.725882e+01 6.787877e-04 0.000000e+00
1.401200e+01 2.570604e-02 4.627154e+01 5.555476e-04 0.000000e+00
1.501200e+01 5.083910e-02 4.518876e+01 1.125039e-03 0.000000e+00
1.601200e+01 0.000000e+00 4.410354e+01 0.000000e+00 0.000000e+00
1.701400e+01 2.010596e-02 4.313966e+01 4.660667e-04 0.000000e+00
1.801600e+01 3.304055e-02 4.227524e+01 7.815578e-04 0.000000e+00
1.901800e+01 7.773053e-03 4.129845e+01 1.882166e-04 0.000000e+00
2.002000e+01 5.761043e-02 4.042509e+01 1.425116e-03 0.000000e+00
2.102200e+01 0.000000e+00 3.969319e+01 0.000000e+00 0.000000e+00
2.202400e+01 5.930586e-03 3.894111e+01 1.522963e-04 0.000000e+00
2.302600e+01 1.751626e-02 3.818008e+01 4.587802e-04 0.000000e+00
2.402800e+01 1.625241e-02 3.748501e+01 4.335709e-04 0.000000e+00
2.503000e+01 2.968600e-02 3.689954e+01 8.045085e-04 0.000000e+00
2.603200e+01 0.000000e+00 3.622204e+01 0.000000e+00 0.000000e+00
2.703400e+01 0.000000e+00 3.550566e+01 0.000000e+00 0.000000e+00
2.803600e+01 2.004510e-02 3.484706e+01 5.752306e-04 0.000000e+00
2.903800e+01 0.000000e+00 3.423803e+01 0.000000e+00 0.000000e+00
3.004000e+01 0.000000e+00 3.368468e+01 0.000000e+00 0.000000e+00
3.104200e+01 1.757839e-02 3.308679e+01 5.312812e-04 0.000000e+00
3.204400e+01 0.000000e+00 3.247943e+01 0.000000e+00 0.000000e+00
3.304400e+01 8.310101e-03 3.194384e+01 2.601472e-04 0.000000e+00
3.404400e+01 2.804361e-03 3.133279e+01 8.950244e-05 0.000000e+00
3.504400e+01 8.523923e-03 3.070714e+01 2.775877e-04 0.000000e+00
3.604400e+01 1.705364e-02 3.015307e+01 5.655688e-04 0.000000e+00
