# Starting up: N=10 dt=1.000000e-03 pad=2.000000e+00 L=1.000000e+00
time	PV	NkT	PV/NkT	Energy
1.000000e+00 0.000000e+00 5.437724e-01 0.000000e+00 0.000000e+00
2.001000e+00 1.089810e+00 5.376996e-01 2.026801e+00 0.000000e+00
3.002000e+00 6.975178e-01 5.338083e-01 1.306682e+00 0.000000e+00
4.003000e+00 3.610132e-01 5.288437e-01 6.826464e-01 0.000000e+00
5.003000e+00 6.065890e-01 5.283154e-01 1.148157e+00 0.000000e+00
6.003000e+00 1.862005e-01 5.285950e-01 3.522556e-01 0.000000e+00
7.003000e+00 8.986282e-01 5.283337e-01 1.700872e+00 0.000000e+00
8.003000e+00 5.176772e-01 5.283337e-01 9.798300e-01 0.000000e+00
9.004000e+00 4.400153e-01 5.288621e-01 8.320040e-01 0.000000e+00
1.000500e+01 6.443242e-01 5.288621e-01 1.218322e+00 0.000000e+00
1.100600e+01 1.655177e-01 5.288621e-01 3.129696e-01 0.000000e+00
1.200700e+01 7.594397e-01 5.288621e-01 1.435988e+00 0.000000e+00
1.300800e+01 6.197625e-01 5.288621e-01 1.171879e+00 0.000000e+00
1.400900e+01 4.257572e-01 5.288502e-01 8.050620e-01 0.000000e+00
1.501000e+01 6.217146e-01 5.288423e-01 1.175614e+00 0.000000e+00
1.601100e+01 4.962608e-01 5.288423e-01 9.383910e-01 0.000000e+00
1.701100e+01 2.916483e-01 5.283140e-01 5.520359e-01 0.000000e+00
1.801100e+01 8.822109e-01 5.283140e-01 1.669861e+00 0.000000e+00
1.901100e+01 2.439853e-01 5.283140e-01 4.618187e-01 0.000000e+00
2.001100e+01 6.038320e-01 5.283140e-01 1.142942e+00 0.000000e+00
2.101100e+01 6.007365e-01 5.283140e-01 1.137082e+00 0.000000e+00
2.201100e+01 4.036999e-01 5.283140e-01 7.641288e-01 0.000000e+00
2.301100e+01 7.201844e-01 5.283140e-01 1.363175e+00 0.000000e+00
2.401100e+01 2.759575e-01 5.283140e-01 5.223362e-01 0.000000e+00
2.501100e+01 8.381209e-01 5.283140e-01 1.586407e+00 0.000000e+00
2.601100e+01 4.040997e-01 5.283140e-01 7.648855e-01 0.000000e+00
2.701100e+01 5.206327e-01 5.284930e-01 9.851271e-01 0.000000e+00
2.801100e+01 4.624562e-01 5.282859e-01 8.753899e-01 0.000000e+00
2.901100e+01 4.587090e-01 5.282859e-01 8.682968e-01 0.000000e+00
3.001100e+01 7.204763e-01 5.282859e-01 1.363800e+00 0.000000e+00
3.101100e+01 4.646266e-01 5.282859e-01 8.794983e-01 0.000000e+00
3.201100e+01 5.252697e-01 5.282859e-01 9.942905e-01 0.000000e+00
3.301200e+01 5.585525e-01 5.288142e-01 1.056236e+00 0.000000e+00
3.401300e+01 5.661148e-01 5.288142e-01 1.070536e+00 0.000000e+00
3.501400e+01 3.865191e-01 5.288142e-01 7.309166e-01 0.000000e+00
3.601500e+01 6.620618e-01 5.294879e-01 1.250381e+00 0.000000e+00
3.701600e+01 4.741237e-01 5.288137e-01 8.965798e-01 0.000000e+00
3.801700e+01 6.317540e-01 5.288137e-01 1.194663e+00 0.000000e+00
3.901800e+01 3.285622e-01 5.288137e-01 6.213194e-01 0.000000e+00
4.001900e+01 6.599114e-01 5.288137e-01 1.247909e+00 0.000000e+00
4.102000e+01 5.502242e-01 5.288137e-01 1.040488e+00 0.000000e+00
4.202100e+01 1.971055e-01 5.288137e-01 3.727314e-01 0.000000e+00
4.302200e+01 9.713087e-01 5.288137e-01 1.836769e+00 0.000000e+00
4.402300e+01 3.755213e-01 5.291730e-01 7.096380e-01 0.000000e+00
4.502400e+01 3.624809e-01 5.287922e-01 6.854884e-01 0.000000e+00
4.602500e+01 6.663871e-01 5.287922e-01 1.260206e+00 0.000000e+00
4.702600e+01 5.170424e-01 5.287922e-01 9.777800e-01 0.000000e+00
4.802700e+01 7.106369e-01 5.287922e-01 1.343887e+00 0.000000e+00
4.902800e+01 2.469753e-01 5.287922e-01 4.670555e-01 0.000000e+00
5.002900e+01 6.559175e-01 5.287922e-01 1.240407e+00 0.000000e+00
5.103000e+01 5.298172e-01 5.287922e-01 1.001939e+00 0.000000e+00
5.203100e+01 4.916552e-01 5.287922e-01 9.297702e-01 0.000000e+00
5.303200e+01 4.299612e-01 5.287922e-01 8.131005e-01 0.000000e+00
5.403300e+01 8.460307e-01 5.287922e-01 1.599930e+00 0.000000e+00
5.503400e+01 3.394221e-01 5.287922e-01 6.418819e-01 0.000000e+00
5.603500e+01 3.114576e-01 5.287922e-01 5.889982e-01 0.000000e+00
5.703600e+01 8.376726e-01 5.287922e-01 1.584124e+00 0.000000e+00
5.803700e+01 4.656492e-01 5.287922e-01 8.805901e-01 0.000000e+00
5.903800e+01 3.108186e-01 5.287922e-01 5.877897e-01 0.000000e+00
6.003900e+01 6.378902e-01 5.287922e-01 1.206316e+00 0.000000e+00
6.104000e+01 6.604406e-01 5.287922e-01 1.248961e+00 0.000000e+00
6.204100e+01 4.713216e-01 5.287922e-01 8.913174e-01 0.000000e+00
6.304200e+01 6.123497e-01 5.287922e-01 1.158016e+00 0.000000e+00
6.404300e+01 2.899052e-01 5.287922e-01 5.482404e-01 0.000000e+00
6.504300e+01 6.801524e-01 5.282639e-01 1.287524e+00 0.000000e+00
6.604300e+01 5.125835e-01 5.282639e-01 9.703171e-01 0.000000e+00
6.704300e+01 6.673638e-01 5.282639e-01 1.263315e+00 0.000000e+00
6.804300e+01 5.781386e-01 5.282639e-01 1.094413e+00 0.000000e+00
6.904300e+01 1.984194e-01 5.282639e-01 3.756066e-01 0.000000e+00
7.004300e+01 5.685427e-01 5.282639e-01 1.076248e+00 0.000000e+00
7.104300e+01 7.208197e-01 5.282639e-01 1.364507e+00 0.000000e+00
7.204300e+01 3.395622e-01 5.282639e-01 6.427889e-01 0.000000e+00
7.304300e+01 6.794378e-01 5.283093e-01 1.286061e+00 0.000000e+00
7.404300e+01 6.140600e-01 5.282474e-01 1.162448e+00 0.000000e+00
7.504300e+01 5.727642e-01 5.282474e-01 1.084273e+00 0.000000e+00
7.604300e+01 5.547013e-01 5.282474e-01 1.050079e+00 0.000000e+00
7.704300e+01 2.740941e-01 5.282474e-01 5.188745e-01 0.000000e+00
7.804300e+01 6.056676e-01 5.282474e-01 1.146560e+00 0.000000e+00
7.904300e+01 4.203566e-01 5.282474e-01 7.957571e-01 0.000000e+00
8.004300e+01 5.566313e-01 5.282474e-01 1.053732e+00 0.000000e+00
8.104300e+01 6.681036e-01 5.282474e-01 1.264755e+00 0.000000e+00
8.204300e+01 2.242114e-01 5.282474e-01 4.244440e-01 0.000000e+00
8.304300e+01 8.927890e-01 5.282474e-01 1.690097e+00 0.000000e+00
8.404300e+01 4.539217e-01 5.282474e-01 8.592976e-01 0.000000e+00
8.504300e+01 7.084460e-01 5.282474e-01 1.341125e+00 0.000000e+00
8.604300e+01 2.782600e-01 5.283069e-01 5.267015e-01 0.000000e+00
8.704300e+01 2.371672e-01 5.282490e-01 4.489686e-01 0.000000e+00
8.804300e+01 9.426202e-01 5.282490e-01 1.784424e+00 0.000000e+00
8.904300e+01 2.465492e-01 5.282490e-01 4.667292e-01 0.000000e+00
9.004300e+01 7.894251e-01 5.282490e-01 1.494419e+00 0.000000e+00
9.104300e+01 5.553590e-01 5.282490e-01 1.051321e+00 0.000000e+00
9.204300e+01 2.822317e-01 5.282490e-01 5.342778e-01 0.000000e+00
9.304300e+01 5.705544e-01 5.282490e-01 1.080086e+00 0.000000e+00
9.404300e+01 6.839815e-01 5.282490e-01 1.294809e+00 0.000000e+00
9.504300e+01 5.205770e-01 5.282490e-01 9.854765e-01 0.000000e+00
9.604300e+01 3.027648e-01 5.282490e-01 5.731480e-01 0.000000e+00
9.704300e+01 7.834885e-01 5.282456e-01 1.483190e+00 0.000000e+00
9.804300e+01 6.018740e-01 5.282429e-01 1.139389e+00 0.000000e+00
9.904300e+01 2.967379e-01 5.282429e-01 5.617453e-01 0.000000e+00
1.000430e+02 4.715834e-01 5.282429e-01 8.927398e-01 0.000000e+00
1.010430e+02 7.661664e-01 5.282429e-01 1.450406e+00 0.000000e+00
1.020430e+02 4.722618e-01 5.282429e-01 8.940240e-01 0.000000e+00
1.030430e+02 3.093944e-01 5.282429e-01 5.857048e-01 0.000000e+00
1.040430e+02 3.432526e-01 5.282429e-01 6.498008e-01 0.000000e+00
1.050430e+02 1.051370e+00 5.282429e-01 1.990316e+00 0.000000e+00
1.060430e+02 4.904961e-01 5.282429e-01 9.285429e-01 0.000000e+00
1.070430e+02 3.791251e-01 5.282429e-01 7.177099e-01 0.000000e+00
1.080430e+02 6.823226e-01 5.282429e-01 1.291683e+00 0.000000e+00
1.090430e+02 3.498463e-01 5.282429e-01 6.622831e-01 0.000000e+00
1.100430e+02 6.268380e-01 5.282429e-01 1.186647e+00 0.000000e+00
1.110430e+02 4.926141e-01 5.282429e-01 9.325524e-01 0.000000e+00
1.120430e+02 3.050798e-01 5.282429e-01 5.775370e-01 0.000000e+00
1.130430e+02 7.059855e-01 5.282429e-01 1.336479e+00 0.000000e+00
1.140430e+02 3.900779e-01 5.282429e-01 7.384442e-01 0.000000e+00
1.150430e+02 9.925198e-01 5.282429e-01 1.878908e+00 0.000000e+00
1.160430e+02 9.134683e-02 5.282410e-01 1.729264e-01 0.000000e+00
