# Starting up: N=1000 dt=1.000000e-03 pad=2.000000e+00 L=1.000000e+00
time	PV	NkT	PV/NkT	Energy
1.000000e+00 5.731912e+00 2.976019e+01 1.926034e-01 0.000000e+00
2.001000e+00 3.253556e+01 2.645786e+01 1.229713e+00 0.000000e+00
3.002000e+00 3.049301e+01 2.511604e+01 1.214085e+00 0.000000e+00
4.003000e+00 2.704881e+01 2.409599e+01 1.122544e+00 0.000000e+00
5.003000e+00 2.496718e+01 2.330934e+01 1.071123e+00 0.000000e+00
6.003000e+00 2.312174e+01 2.292562e+01 1.008555e+00 0.000000e+00
7.003000e+00 1.971024e+01 2.271303e+01 8.677945e-01 0.000000e+00
8.003000e+00 2.315409e+01 2.236916e+01 1.035090e+00 0.000000e+00
9.004000e+00 2.210138e+01 2.210162e+01 9.999891e-01 0.000000e+00
1.000500e+01 1.889055e+01 2.190129e+01 8.625312e-01 0.000000e+00
1.100600e+01 2.090464e+01 2.176882e+01 9.603021e-01 0.000000e+00
1.200700e+01 2.286112e+01 2.162705e+01 1.057061e+00 0.000000e+00
1.300800e+01 2.042427e+01 2.155857e+01 9.473850e-01 0.000000e+00
1.400900e+01 2.035771e+01 2.145900e+01 9.486792e-01 0.000000e+00
1.501000e+01 2.156622e+01 2.139634e+01 1.007940e+00 0.000000e+00
1.601100e+01 2.345235e+01 2.137849e+01 1.097007e+00 0.000000e+00
1.701100e+01 2.087946e+01 2.131602e+01 9.795200e-01 0.000000e+00
1.801100e+01 2.003138e+01 2.126399e+01 9.420332e-01 0.000000e+00
1.901100e+01 1.894612e+01 2.119655e+01 8.938303e-01 0.000000e+00
2.001100e+01 2.181049e+01 2.118414e+01 1.029567e+00 0.000000e+00
2.101100e+01 2.266321e+01 2.113723e+01 1.072194e+00 0.000000e+00
2.201100e+01 1.916040e+01 2.112797e+01 9.068734e-01 0.000000e+00
2.301100e+01 2.099963e+01 2.111231e+01 9.946626e-01 0.000000e+00
2.401100e+01 2.062319e+01 2.108313e+01 9.781845e-01 0.000000e+00
2.501100e+01 2.047339e+01 2.107180e+01 9.716017e-01 0.000000e+00
2.601100e+01 2.090319e+01 2.102288e+01 9.943069e-01 0.000000e+00
2.701100e+01 2.343532e+01 2.098050e+01 1.117005e+00 0.000000e+00
2.801100e+01 2.084562e+01 2.100204e+01 9.925524e-01 0.000000e+00
2.901100e+01 1.987462e+01 2.100427e+01 9.462178e-01 0.000000e+00
3.001100e+01 2.072636e+01 2.099652e+01 9.871331e-01 0.000000e+00
3.101100e+01 1.903161e+01 2.099032e+01 9.066849e-01 0.000000e+00
3.201100e+01 2.159809e+01 2.097614e+01 1.029650e+00 0.000000e+00
3.301200e+01 2.313591e+01 2.100816e+01 1.101282e+00 0.000000e+00
3.401300e+01 2.023398e+01 2.098183e+01 9.643570e-01 0.000000e+00
3.501400e+01 2.048402e+01 2.097009e+01 9.768208e-01 0.000000e+00
3.601500e+01 2.102227e+01 2.096619e+01 1.002675e+00 0.000000e+00
3.701600e+01 2.115336e+01 2.097236e+01 1.008630e+00 0.000000e+00
3.801700e+01 2.067556e+01 2.099441e+01 9.848127e-01 0.000000e+00
3.901800e+01 2.003703e+01 2.100746e+01 9.538055e-01 0.000000e+00
4.001900e+01 2.029105e+01 2.101249e+01 9.656664e-01 0.000000e+00
4.102000e+01 2.203770e+01 2.102304e+01 1.048264e+00 0.000000e+00
4.202100e+01 2.121510e+01 2.099230e+01 1.010613e+00 0.000000e+00
4.302200e+01 1.997522e+01 2.100296e+01 9.510669e-01 0.000000e+00
4.402300e+01 2.143254e+01 2.097859e+01 1.021639e+00 0.000000e+00
4.502400e+01 1.987233e+01 2.097944e+01 9.472284e-01 0.000000e+00
4.602500e+01 2.397531e+01 2.098299e+01 1.142607e+00 0.000000e+00
4.702600e+01 1.917175e+01 2.097860e+01 9.138719e-01 0.000000e+00
4.802700e+01 2.018741e+01 2.096557e+01 9.628836e-01 0.000000e+00
4.902800e+01 1.979793e+01 2.094632e+01 9.451749e-01 0.000000e+00
5.002900e+01 2.241779e+01 2.094475e+01 1.070330e+00 0.000000e+00
5.103000e+01 2.096113e+01 2.095306e+01 1.000385e+00 0.000000e+00
5.203100e+01 2.055029e+01 2.097222e+01 9.798817e-01 0.000000e+00
5.303200e+01 2.011476e+01 2.095812e+01 9.597599e-01 0.000000e+00
5.403300e+01 2.362045e+01 2.093983e+01 1.128015e+00 0.000000e+00
5.503400e+01 2.088036e+01 2.094930e+01 9.967092e-01 0.000000e+00
5.603500e+01 1.709409e+01 2.096438e+01 8.153870e-01 0.000000e+00
5.703600e+01 2.266509e+01 2.095716e+01 1.081496e+00 0.000000e+00
5.803700e+01 2.136451e+01 2.095701e+01 1.019445e+00 0.000000e+00
5.903800e+01 2.077218e+01 2.095202e+01 9.914169e-01 0.000000e+00
6.003900e+01 1.994694e+01 2.094258e+01 9.524587e-01 0.000000e+00
6.104000e+01 2.155425e+01 2.097259e+01 1.027734e+00 0.000000e+00
6.204100e+01 2.183539e+01 2.095364e+01 1.042081e+00 0.000000e+00
6.304200e+01 1.913351e+01 2.097672e+01 9.121303e-01 0.000000e+00
6.404300e+01 2.199435e+01 2.097503e+01 1.048597e+00 0.000000e+00
6.504300e+01 2.081411e+01 2.094013e+01 9.939819e-01 0.000000e+00
6.604300e+01 2.037810e+01 2.095634e+01 9.724075e-01 0.000000e+00
6.704300e+01 2.215405e+01 2.094286e+01 1.057833e+00 0.000000e+00
6.804300e+01 2.051446e+01 2.095511e+01 9.789718e-01 0.000000e+00
6.904300e+01 1.855971e+01 2.093077e+01 8.867190e-01 0.000000e+00
7.004300e+01 2.388589e+01 2.096186e+01 1.139493e+00 0.000000e+00
7.104300e+01 2.039701e+01 2.096588e+01 9.728672e-01 0.000000e+00
7.204300e+01 1.947476e+01 2.096592e+01 9.288770e-01 0.000000e+00
7.304300e+01 2.077012e+01 2.097332e+01 9.903114e-01 0.000000e+00
7.404300e+01 2.088756e+01 2.097016e+01 9.960608e-01 0.000000e+00
7.504300e+01 2.152477e+01 2.099258e+01 1.025351e+00 0.000000e+00
7.604300e+01 2.097039e+01 2.098900e+01 9.991134e-01 0.000000e+00
7.704300e+01 2.142929e+01 2.096472e+01 1.022159e+00 0.000000e+00
7.804300e+01 1.955555e+01 2.096848e+01 9.326161e-01 0.000000e+00
7.904300e+01 2.142148e+01 2.092640e+01 1.023658e+00 0.000000e+00
8.004300e+01 2.039194e+01 2.094474e+01 9.736069e-01 0.000000e+00
8.104300e+01 2.106308e+01 2.095302e+01 1.005253e+00 0.000000e+00
8.204300e+01 2.126855e+01 2.093344e+01 1.016008e+00 0.000000e+00
8.304300e+01 2.136937e+01 2.093457e+01 1.020770e+00 0.000000e+00
8.404300e+01 1.954676e+01 2.093181e+01 9.338304e-01 0.000000e+00
8.504300e+01 2.231545e+01 2.095638e+01 1.064853e+00 0.000000e+00
8.604300e+01 2.090422e+01 2.098645e+01 9.960818e-01 0.000000e+00
8.704300e+01 2.039678e+01 2.094963e+01 9.736105e-01 0.000000e+00
8.804300e+01 2.051877e+01 2.094273e+01 9.797561e-01 0.000000e+00
8.904300e+01 1.975899e+01 2.092875e+01 9.441075e-01 0.000000e+00
9.004300e+01 2.125019e+01 2.091437e+01 1.016057e+00 0.000000e+00
9.104300e+01 2.341460e+01 2.091792e+01 1.119356e+00 0.000000e+00
9.204300e+01 1.902728e+01 2.092311e+01 9.093909e-01 0.000000e+00
9.304300e+01 2.086583e+01 2.092196e+01 9.973173e-01 0.000000e+00
9.404300e+01 2.030143e+01 2.092564e+01 9.701701e-01 0.000000e+00
9.504300e+01 2.103215e+01 2.093014e+01 1.004874e+00 0.000000e+00
9.604300e+01 2.301901e+01 2.094133e+01 1.099214e+00 0.000000e+00
9.704300e+01 1.855514e+01 2.095939e+01 8.852904e-01 0.000000e+00
9.804300e+01 2.070388e+01 2.095676e+01 9.879334e-01 0.000000e+00
9.904300e+01 2.119215e+01 2.095682e+01 1.011230e+00 0.000000e+00
1.000430e+02 2.123315e+01 2.093494e+01 1.014245e+00 0.000000e+00
1.010430e+02 2.284875e+01 2.093012e+01 1.091668e+00 0.000000e+00
